ussid,slaveid,isallocated
1241304064533004825,124130-562107A,YES
1241304069159189031,124130-562107A,YES
1241304067982630508,124130-562107A,YES
1241304069156322226,124130-562107A,YES
1241304067983490439,124130-562107A,YES
1241304067984996282,124130-562107A,YES
1241304065453451058,124130-562107A,YES
1241304067984997647,124130-562107A,YES
1241304099684516903,124130-562107A,YES
1241304067982630065,124130-562107A,YES
1241304099685373253,124130-562107A,YES
1241304067983098741,124130-562107A,YES
1241304069159114651,124130-562107A,YES
1241304067984596949,124130-562107A,YES
1241304067982971571,124130-562107A,YES
1241304067978165618,124130-562107A,YES
1241304067983098895,124130-562107A,YES
1241304067979573245,124130-562107A,YES
1241304067979138178,124130-562107A,YES
1241304065451222674,124130-562107A,YES
1241304067978260870,124130-562107A,YES
1241304067982302474,124130-562107A,YES
1241304067984551153,124130-562107A,YES
1241304099685025800,124130-562107A,YES
1241304069159187280,124130-562107A,YES
1241304065452957469,124130-562107A,YES
1241304067984596789,124130-562107A,YES
1241304067981789474,124130-562107A,YES
1241304065451917693,124130-562107A,YES
1241304099685373307,124130-562107A,YES
1241304067982302450,124130-562107A,YES
1241304067978179837,124130-562107A,YES
1241304067981801367,124130-562107A,YES
1241304069156167100,124130-562107A,YES
1241304067984305497,124130-562107A,YES
1241304067982630072,124130-562107A,YES
1241304067982545949,124130-562107A,YES
1241304099684148463,124130-562107A,YES
1241304067984596772,124130-562107A,YES
1241304067978167063,124130-562107A,YES
1253814067979250849,125381-1234,YES
1253814067984098306,125381-1234,YES
1253814065454991317,125381-1234,YES
1253814069159030135,125381-1234,YES
1253814067981855759,125381-1234,YES
1253814069159187259,125381-1234,YES
1253814067982628994,125381-1234,YES
1241304067979250825,124130-562107A,YES
1241304067983294662,124130-562107A,YES
1241304069156040410,124130-562107A,YES
128832NEWTON01cNVYORNG10,128832-ARV,YES
1291408909152373463,129140-TC99254,YES
1275648905875365402,127564-HRN,YES
128178RDS02668,128178-ND2,YES
126948128605MVEUK6,126948-BWH,YES
1248488909112924650,124848-1270,YES
128908CASFSD804M459042,128908-BAN,YES
1259295401180321605,125929-BAN3,YES
100001301011352004,100001-WD27,YES
100001300968661001,100001-W172,YES
100001300968660001,100001-W190,YES
1276534066755088805,127653-8713,YES
1276534067889581927,127653-8713,YES
1276534067887706506,127653-8713,YES
1276534065421811761,127653-8713,YES
1276534067889986173,127653-8713,YES
1276534066762697069,127653-8713,YES
1276534066756653057,127653-8713,YES
1276534067887706568,127653-8713,YES
1276534066756540302,127653-8713,YES
1276534067902276090,127653-8713,YES
1276534065418816205,127653-8713,YES
1276534066764605130,127653-8713,YES
1276534067888214208,127653-8713,YES
1276534064043604218,127653-8713,YES
1276534066745007052,127653-8713,YES
1276534067901017090,127653-8713,YES
1276534067896221144,127653-8713,YES
1276534067892067401,127653-8713,YES
1276534065418831642,127653-8713,YES
1276534064054293227,127653-8713,YES
1276534067894048743,127653-8713,YES
1276534067888641448,127653-8713,YES
1276534066751833737,127653-8713,YES
1276534067906230579,127653-8713,YES
1276534064047395846,127653-8713,YES
1241304067984832092,124130-122004,YES
1241304069156144446,124130-122004,YES
1241304067982545925,124130-122004,YES
1241304064535063691,124130-122004,YES
1241304067984596291,124130-122004,YES
1241304099684201953,124130-122004,YES
1241304067984999580,124130-122004,YES
1253814067982545932,125381-1412105,YES
1253814059507692283,125381-1412105,YES
1276534061619243727,127653-8713,YES
1276534065418831628,127653-8713,YES
1276534065418831611,127653-8713,YES
126913MBB13PO2CO1M,126913-F190,YES
100001301004507007,100001-W289,YES
1246218909044637987,124621-P017,YES
126446LFSLD0244,126446-LF001,YES
1241304067984596536,124130-122004,YES
1241304067984997197,124130-122004,YES
1241304067984596949,124130-122004,YES
1241304067984948106,124130-122004,YES
1241304069156080041,124130-122004,YES
1241304067984596499,124130-122004,YES
1241304064533026933,124130-122004,YES
1241304067984596253,124130-122004,YES
1241304067984999597,124130-122004,YES
1241304067984999573,124130-122004,YES
127939BNTN65167067,127939-PSBANWH,YES
1253814067978260870,125381-1412105,YES
1241304067981789412,124130-122004,YES
1241304067982971212,124130-122004,YES
1241304069159023373,124130-122004,YES
1241304067984997654,124130-122004,YES
1253814067982843533,125381-1412105,YES
100001301006847002,100001-WD16,YES
100001301006847003,100001-WD16,YES
128390AM022140,128390-KOL,YES
128020196807980703,128020-CKWH,YES
1291408909152373463,129140-TC99205,YES
100001301020156009,100001-W125,YES
126036NRW010F5004,126036-UP,YES
125942NETH1792028,125942-HKMM,YES
129205SprazzoCubanoCroco44,129205-DMODOT001,YES
100001301008684024,100001-WD16,YES
100001301008684012,100001-WD16,YES
1260998907361817839,126099-8017,YES
1260998907361817846,126099-8044,YES
100001301011153003,100001-WD16,YES
100001300988177003,100001-WD01,YES
100001301011827004,100001-WD16,YES
12643542ST030647C5FS,126435-FLBSS1,YES
12643542ST029996B5FS,126435-FLBSS1,YES
12643542KBA29064B5FS,126435-FLBSS1,YES
100001301016837008,100001-WD16,YES
1291408905798951577,129140-TC99254,YES
1257384066751610079,125738-1613,YES
126148FRENCHIEPO3FRENCHIEPLUS85,126148-MUM,YES
1246218909230043059,124621-P146,YES
1281218909127086060,128121-BAN,YES
126252DRIVE44TAN6,126252-MF01,YES
100001301005567006,100001-W240,YES
100001301005567016,100001-WD16,YES
1284388720639909421,128438-WHMP,YES
1259295401180831623,125929-BAN3,YES
1265788905241129904,126578-SMWH01,YES
128117YA126482,128117-NIMODEL,YES
126088FWSX1377,126088-LSDT,YES
128138LipPlumperPink5ml,128138-VI_MUM_WH,YES
129096ENFA15332,129096-KANVARDELHIWH,YES
100001300998966002,100001-WD27,YES
100001301015408003,100001-WD27,YES
124267AppleMHXH3ZMA15WQIWirelessWht,124267-MUM,YES
100001301024219002,100001-W194,YES
1253491144A2251012,125349-AWH,YES
125055MA10000689971,125055-1103,YES
12398610126001M9W11,123986-MBWH11,YES
